trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
5,06:26:37,06:26:37,5036565848,5,,,,,
5,06:30:29,06:30:29,5036565847,6,,,,,
5,06:30:56,06:30:56,5036565846,7,,,,,
5,06:31:43,06:31:43,5036565845,8,,,,,
5,06:33:05,06:33:05,5036565844,9,,,,,
5,06:34:26,06:34:26,5036565843,10,,,,,
5,06:36:38,06:36:38,5036565842,11,,,,,
5,06:38:13,06:38:13,5036565841,12,,,,,
5,06:39:43,06:39:43,5036565840,13,,,,,
5,06:43:15,06:43:15,5036565839,14,,,,,
5,06:45:03,06:45:03,5036565838,15,,,,,
5,06:45:55,06:45:55,5036565837,16,,,,,
5,06:48:16,06:48:16,5036565836,17,,,,,
5,06:49:15,06:49:15,5036565835,18,,,,,
5,06:49:44,06:49:44,5028768233,19,,,,,
5,06:50:57,06:50:57,5028768226,20,,,,,
5,06:53:11,06:53:11,5022007555,21,,,,,
5,06:56:21,06:56:21,5028768232,22,,,,,
5,06:57:20,06:57:20,5035725209,23,,,,,
5,06:58:48,06:58:48,5028768231,24,,,,,
5,07:00:41,07:00:41,5022007553,25,,,,,
5,07:02:31,07:02:31,5035725208,26,,,,,
5,07:03:40,07:03:40,5028768225,27,,,,,
5,07:05:00,07:05:00,5035725207,28,,,,,
5,07:07:13,07:07:13,5022007554,29,,,,,
5,07:09:00,07:09:00,4981090360,30,,,,,
489,06:00:00,06:00:00,5096289421,1,,,,,
489,06:02:24,06:02:24,4980974754,2,,,,,
489,06:03:50,06:03:50,4980974765,3,,,,,
489,06:05:20,06:05:20,4980974757,4,,,,,
489,06:10:06,06:10:06,4980974760,5,,,,,
489,06:12:41,06:12:41,5027248834,6,,,,,
489,06:14:14,06:14:14,5043547848,7,,,,,
489,06:15:11,06:15:11,5027248833,8,,,,,
489,06:17:23,06:17:23,5027248840,9,,,,,
489,06:18:00,06:18:00,5027248839,10,,,,,
489,06:19:31,06:19:31,5043547847,11,,,,,
489,06:20:18,06:20:18,5027248838,12,,,,,
489,06:21:26,06:21:26,5027248837,13,,,,,
