route_id,trip_id,service_id,shape_id,direction_id,trip_headsign
7443866,462,0,7443857,0,Mallam Gbawe
7488672,168,0,7488646,0,Sukura
7488672,169,0,7488659,1,Kaneshie
7493202,164,0,7493196,0,Glefe
7493202,165,0,7493136,1,Accra Bishop
7426683,166,0,7426676,0,Hansonic
7426683,167,0,7426665,1,Dansoman Last Stop
7442731,160,0,7442512,0,Accra U.T.C
7442731,161,0,7442727,1,Abeka Main Market
7554159,162,0,7554095,0,Ebenezer
7554159,163,0,7553913,1,Accra Bishop
7541891,9,0,7541864,1,Achimota
7471933,357,0,7471894,1,Dome Railway Crossing
7471933,356,0,7471917,0,Nima Overhead
7472079,355,0,7472024,1,Awoshie Last Stop
7472079,354,0,7472071,0,Nima Overhead
7472170,353,0,7472135,1,Israel Lomnava
7472170,352,0,7472169,0,Nima Overhead
7593083,351,0,7593019,1,Alajo Station
7593083,350,0,7593076,0,Nima Overhead Maamobi
7467379,359,0,7467358,1,Lapaz-Nii Boi Junction
7467379,358,0,7467377,0,Nima Overhead
7461658,216,0,7461636,0,Mamprobi C Lante
7461658,217,0,7461655,1,Kaneshie Takoradi Station
7460919,214,0,7460910,0,Korle Bu
7460919,215,0,7460916,1,Kaneshie Takoradi Station
7460876,212,0,7460874,0,Kaneshie Takoradi Station
7460876,213,0,7460801,1,Dansoman Last Stop
7517520,210,0,7517381,0,Kaneshie
7517520,211,0,7517511,1,Abeka Main Market
7461717,218,0,7461690,0,New Russia Last Stop
7461717,219,0,7461711,1,Kaneshie Takoradi Station
7480997,289,0,7480992,1,Abeka Lapaz
7480997,288,0,7480923,0,Tetteh Quarshie
7474607,4,0,7474572,0,Madina Station
7482704,281,0,7482702,1,Abeka Lapaz
7482704,280,0,7482578,0,Omanjor
7482407,283,0,7482394,1,Abeka Lapaz
7482407,282,0,7482333,0,Race Course
7482125,285,0,7482123,1,Abeka Lapaz
7482125,284,0,7482055,0,Santa Maria
7564678,287,0,7564674,1,Abeka Lapaz
7564678,286,0,7560155,0,Tema
7582565,263,0,7582562,1,Kwashieman Junction
7582565,262,0,7582514,0,Santa Maria
7484849,261,0,7484705,1,Antie Aku
7484849,260,0,7484796,0,Kwashieman Junction
7582824,267,0,7582819,1,Kwashieman Junction
7582824,266,0,7582694,0,Rawlings Park
7484682,265,0,7484676,1,Kwashieman Junction
7484682,264,0,7484622,0,Sowutuom
